Date;SPU-NO;BERGEN-NO;AKERBP-NO;EMGS-NO;PGS-NO;BWO-NO;SDRL-NO;IMSK-NO;NOR-NO;AKA-NO;OTS-NO;PRS-NO;SUBC-NO;TGS-NO;IOX-NO;FOE-NO;SOFF-NO;WRL-NO;EMAS-NO;SONG-NO;SEVAN-NO;FRO-NO;STL-NO;SIOFF-NO;EIOF-NO;PDR-NO;QEC-NO;BON-NO;ARCHER-NO;FLNG-NO;DNO-NO;SBX-NO;REACH-NO;DOF-NO;HAVI-NO;PLCS-NO;ITX-NO;BOR-NO;INC-NO;NHY-NO;YAR-NO;NSG-NO;NEL-NO;AKVA-NO;GOD-NO;BMA-NO;KOG-NO;HEX-NO;NRC-NO;TTS-NO;AFG-NO;VEI-NO;TOM-NO;SOLV-NO;BEL-NO;ODF-NO;ODFB-NO;WWI-NO;JIN-NO;AMSC-NO;NAS-NO;WILS-NO;WWIB-NO;SNI-NO;NTS-NO;SAS.NOK-NO;RISH-NO;KOA-NO;EKO-NO;SCHA-NO;GYL-NO;POL-NO;ORK-NO;AUSS-NO;MHG-NO;SSC-NO;GSF-NO;SALM-NO;LSG-NO;MEDI-NO;COV-NO;WEIFA-NO;NAVA-NO;BIOTEC-NO;PHO-NO;VVL-NO;DNB-NO;SRBANK-NO;AXA-NO;ASC-NO;AKER-NO;PROTCT-NO;STB-NO;BOUVET-NO;FUNCOM-NO;EVRY-NO;ATEA-NO;GIG-NO;ITE-NO;DAT-NO;APP-NO;OPERA-NO;TECH-NO;IDEX-NO;THIN-NO;KIT-NO;QFR-NO;STRONG-NO;HIDDN-NO;NOD-NO;REC-NO;TEL-NO;NGT-NO;AFK-NO;OLT-NO;SOLON-NO;STORM-NO;NPRO-NO
01/01/10;0.053109897;0.014622366;0.023392839;0.07159366;0.038352746;0.042608554;0.01342302;-0.004962789;0.038360913;0.030671305;0.028170877;0.024659605;0.031680424;0.030077455;-0.071839254;0.027545063;-0.018692146;0.030305286;-0.006688996;0.079030108;0.027186156;0.015921953;0.01982971;0.011173301;0.016920877;0.123614015;0.13895146;0.006079046;0;-0.016529244;0.034887259;0.001958943;-0.025975448;0.012903417;-0.02553335;0.052643791;0.087011377;0;0.033901506;0.017904775;0.031724997;-0.014768237;0.070204111;0;0;0;0.033429297;0.0102565;0.076261868;0.061243586;0.024846041;0.038409448;0.024956732;0;0.073122236;0.019048195;0.019802627;0.024292693;0.124703457;0;0.012959145;0;0.00796817;0.045670037;0;-0.006116169;0;-0.021819047;0.008298804;0.016768702;0;0;0.019164385;-0.002773927;0.035066944;0;0.047856021;0;-0.033901453;0.043485112;0;-0.014051774;-0.025694449;-0.071095894;0.078848066;0;0.025178356;0.009950376;0.354545094;-0.01007563;0.036478209;0.005249356;0.023483467;0.018018503;-0.027028699;0.008403365;-0.024292641;0;-0.054658413;-0.022728251;0;-0.010000145;-0.018868606;0.262364213;-0.05579136;-0.046266755;0.027398974;0.04255974;-0.024451125;0.028170877;-0.006726418;0.033366759;0.012903462;0;0.012903405;0.056089429;0;0.050552279
04/01/10;0.03390148;0;-0.002894337;-0.081407334;0.03554038;0.015660368;-0.002670229;0;0;0.031628214;0.009216747;-0.012789889;-0.002116392;-0.00464038;-0.020906696;0.028085639;0.032485443;-0.049723445;0.006688996;0.048934744;0.021791471;0.042812721;0.002029084;0.031713975;0.049109704;-0.072320749;-0.016349138;0.012048339;0;0;-0.005730675;-0.001958943;-0.008810553;0;0.008583766;0.025317835;-0.01242252;0;0.02439153;-0.003433973;0.018562862;-0.00212762;-0.030983343;0;0;0;0.00273598;-0.020619287;0.0104349;-0.001651511;0.059541331;0.009615459;0.003514942;0;0.014846564;0.018692133;0.019418086;0;0.013698828;-0.039220653;0.04202299;0;-0.011976191;0.029327615;0;0.012195254;0;-0.001839927;0.004123699;0.015748283;0;0;-0.013026669;0.016529302;0.008634502;0.101782694;0.045670037;0.032088315;0.019512716;0;0;-0.033576302;0;-0.019129225;-0.010298752;0;-0.013297028;-0.004962812;-0.061557852;0.018809233;-0.002989539;0;-0.005446906;0;0.086554705;-0.004192915;-0.010298798;0;0.011173301;0.005730675;-0.096143853;0.024815156;-0.019231335;0;0;-0.025389234;-0.009049836;-0.064538536;0.002472394;0.04967161;-0.028524436;-0.004784698;0;0.014388659;-0.00643089;0.012048488;0;-0.035846132
05/01/10;0;0.014411858;0.011527549;0.025317753;0.024147428;-0.023583441;-0.011428696;0;0.010695247;0.031865403;-0.037387624;0.005615665;-0.010649782;0.00464038;0.053473861;0.011859491;-0.018433762;-0.019802622;0;-0.005805428;-0.002815532;-0.002331003;-0.000675904;0;0;-0.025317794;0.053488685;0.017804625;0;0;-0.058579301;0.077324156;0;-0.002567326;0.016949584;-0.025317835;0.14518201;0.039530793;-0.02439153;0.011667876;-0.020401436;0.039671201;-0.014084886;-0.051293242;0;0;-0.024897552;0.009331327;-0.06800482;-0.008298746;0.002886034;-0.014458083;-0.007042283;0;-0.026668204;-0.037740328;-0.034233172;-0.024292693;-0.010256462;0.05448817;-0.01242252;0;-0.020284671;0.039665256;0;0.01204832;0.019418123;0.039716411;-0.012422503;-0.027151018;0;0;-0.004380208;-0.019310945;0.008784798;-0.032789823;0.026433257;-0.051847465;0;-0.043485112;0;0.009708828;0.027028672;0.014909793;0;0;0.000787092;0;-0.100083459;-0.018809233;0.020741484;0.046043939;0.006434073;0.027651531;0.03214116;-0.02985286;-0.025158551;0;-0.033901552;-0.028987537;0.036039961;0.009756301;0.028710041;0;0.008163311;0.008534902;-0.027651531;0;-0.014925688;0.043110124;-0.02626799;-0.010244139;-0.039220716;-0.014388659;0;-0.006006061;0;0.003642991
06/01/10;0.095310148;0.006339146;-0.002869485;0.10919934;0.062747666;0.006795028;-0.002708194;-0.030305349;0.036557638;0.019707999;-0.028987537;-0.009377095;0.019613704;0.021978907;-0.001335931;-0.010156623;0.027524718;-0.020202702;0.113328662;-0.004668891;0.008423071;0.033843207;-0.000676361;0.022353246;-0.029175489;0;-0.0104713;0.01169604;-0.032789823;0.040821932;0.048954588;0.023319299;-0.017857605;0.002567326;0;0.186585982;0.052643733;-0.007782153;-0.012422515;-0.008838932;-0.001473297;0.104848608;0.02451953;0;0;0.023065261;-0.019802627;-0.025079684;-0.033901508;0;0.008608271;0;-0.010657294;0;0.026668204;0.019048195;0.014815086;0.008163311;0.017036226;-0.015267518;-0.00836825;0;0.008163311;0.032789823;0;-0.027315829;0.019048231;0.021016535;0;0.000764235;0;0;-0.014147006;0.002781643;0.028083628;0;0;-0.022422464;0.014388737;0;0;-0.024451131;0;-0.027868968;0.004132237;0;0.002357565;0.004962812;-0.035718083;0;-0.011799547;0;0.055649849;-0.046520016;0.012092008;-0.004338501;-0.008528811;0;-0.023256862;-0.01064469;0;0.00966184;-0.014252041;-0.063513354;0.024097552;-0.008534902;-0.004683849;-0.013422976;0.009975019;0.029108084;0.025804813;-0.003033063;0;0;0;0.006006061;0.014388879;0.003629768
07/01/10;0.087011351;0.024962267;-0.01156077;0.053704137;-0.001922556;0;0.004734537;0;0.040206322;-0.011897769;0.019418086;-0.017925494;-0.002101829;-0.004539272;-0.021622447;-0.002981969;-0.036870564;-0.012320422;-0.022878734;0.030532428;0;0.014557928;-0.000676819;0.005249356;0;-0.025975472;0.015666117;-0.01169604;0.182321557;-0.00803217;0.005785937;-0.016086067;-0.018182404;-0.005141321;-0.021232248;0.08167797;-0.025975486;0.020619355;-0.027885229;0.002418313;0.007710705;-0.013921352;-0.010434644;0;0;0;0.044700179;0.015748357;0.022728369;-0.04255968;-0.017291384;0;-0.028987537;0;0.008385765;0.037041272;0.03373814;0.00809721;0.016750748;0;0.041158072;0;0;0.021277398;0;0.009188424;0;0.095782732;0;0.051369739;0;0;0.003555519;0.00554018;0.002613245;-0.033901586;-0.030907537;0.020202707;0.023530497;-0.022472856;0;0.067010765;-0.040821995;0.008658164;-0.020834087;0.040821995;0.041512494;0;0.119801253;0.006309102;0.002962965;0;0.004655502;0.018868484;-0.039220693;-0.013129282;0.027456842;0;0.034685558;0.033901552;-0.045256586;0.004796105;0.055828615;0;0.00790518;0.019802627;0.023202897;-0.009049886;0;-0.03333642;-0.01000826;-0.007929288;0;0;0;0;0.014184441;-0.014598799
08/01/10;0.223143609;0.001539713;-0.020558707;0.052518081;0;-0.002259722;-0.026668247;0;-0.02493891;0.000598296;-0.05942342;-0.024973606;0.003675412;0.03135053;0.010869663;0;0.045879618;0.004123724;0.022878734;0.006221648;-0.036057071;0.037637385;0.010104498;0.015584731;0;0;-0.015666117;0.037522439;0.154150729;0.077558221;-0.005785937;0.04405999;-0.046957031;0.002573994;-0.004301102;-0.015810582;0.005249356;0;-0.003863479;0.012402652;0.010189317;-0.047856119;0;0.100083464;-0.023530544;-0.006535983;-0.005479466;-0.027456846;-0.04207121;0.137869772;0.017291384;0;0;0;0.002085591;0.035718083;0.059787918;0.023905521;0.054941141;0;0.027834799;0;0.016129382;0.056280836;0;0.009104813;-0.058268894;-0.023905521;0.008298804;-0.024239095;0;-0.044451763;0.021940286;0.024557851;-0.026891681;0.033901586;0.022173857;0.032789823;0.009259325;0;0;-0.01869216;0.006920443;-0.048574636;0;0;0.02160233;-0.020000694;-0.016260574;0;-0.02092752;0;-0.017807406;-0.00938974;0.009950351;0.00439565;0.020619269;0;0.022472856;0;-0.052268544;-0.03406647;-0.022884223;0.016260521;0.075793839;-0.011267725;-0.004597709;-0.004555842;0.002478275;0.008438953;-0.045462289;-0.006758858;0.005319162;0.014388659;0.00643089;0.091492399;0;0
11/01/10;-0.117783036;0.015267425;-0.03625775;-0.046003444;-0.027309849;0.002259722;-0.008350779;0;-0.030771598;-0.029128421;-0.020619391;-0.028500075;-0.017980406;-0.0168968;-0.013605653;-0.023307033;-0.009009054;-0.054982228;0.035091289;-0.042620878;-0.049514967;-0.015646394;-0.018945086;-0.00724266;-0.013245227;0;-0.026668247;-0.020029282;0;-0.061557795;0.017258338;-0.026202372;-0.029270339;-0.023408185;-0.044059952;-0.003991984;0.048540819;0;-0.018229693;-0.054542243;-0.042905989;-0.035931926;0;0;0;0;-0.013831479;-0.037081675;-0.031748778;0.087011438;0;-0.019608471;-0.003683245;0;-0.017866987;-0.017699577;-0.027150989;-0.00790518;-0.054941141;0;0.003913899;0;0.00796817;-0.030305349;0;-0.015220982;0;0.008032172;-0.008298804;0.002969478;0;0;-0.014866851;-0.013568729;-0.014855059;-0.033901586;-0.013245227;-0.021739987;-0.009259325;0;0;-0.028710105;0;0.015712862;-0.01912917;0;-0.012606767;-0.030771712;-0.03333642;0.002512493;0;0;-0.004739345;0;0.002472207;-0.017699606;-0.012320447;0;0;0;0.004866311;-0.035268117;0;0;0.007272759;-0.046385127;-0.042359274;-0.009174428;-0.035268041;-0.034191449;-0.033352994;-0.014907108;-0.005319162;-0.017291456;-0.00643089;0.523855014;0;-0.011090687
12/01/10;0;0.015037909;0.027315812;-0.009787979;0.021520163;-0.01249302;-0.000699056;0;0;0.001230834;0;-0.014560559;-0.006424016;0.006258402;-0.027779494;0;0;0.0215062;0.033901606;-0.002356379;0.020101023;0.031051745;-0.005479466;-0.002079003;0;-0.026668261;0.052643733;0;0;0.001585973;-0.009551171;-0.021467802;0;-0.002634946;0.077961484;0.0676586;0.004975135;0;0.023377689;0.005235096;-0.008349195;0.002030419;0.024180802;0;0;0.04800922;-0.011204599;0.016529302;-0.024490943;-0.01680713;0;0.009852296;0.007352974;0;0;-0.018018506;0;0.011834458;-0.0066667;0;-0.039845909;0;0;-0.0051414;0.021978814;-0.027995575;0;0.004788517;0.008298804;-0.011181641;0;0;0.004395591;0.016260521;0.01351364;0;-0.00445435;0.053488685;0;0.022472856;0;0.038099859;0;0.035014614;0.02960047;0;0.018484815;0.038820116;0;-0.008821594;-0.003025721;0;0.047092083;0;-0.002472207;-0.018018471;-0.008298822;0;-0.022472856;0;-0.039609165;-0.010309433;0.018349015;0.190353728;-0.036904557;-0.01194044;-0.004819286;0.004597796;-0.007722057;0.050858417;-0.018133679;-0.011961112;0.007968142;-0.041548993;0.029245568;-0.091434311;0;0.024964586
13/01/10;-0.025317821;0;-0.009022718;0.093818871;0.017903401;0;-0.008427016;0;0.015504187;0.028495403;0.010362994;0.034878889;0.010683852;0.025518323;-0.049071963;0.017316511;0.022372303;0.004246427;0.102355995;0.015508643;-0.0155429;-0.009533971;0.00820798;0.009321663;0.006644543;-0.027398839;0.064538521;0;0.046519966;0.093724135;0.037669237;0.028522505;0.019608511;0.01570704;0;0.089345122;0.019656653;0;0.026600712;0.008733637;0.00114264;-0.026722972;-0.038265688;0;0.023530544;0.060624634;0.013986242;0.005449605;0;-0.040351284;0;-0.004914015;0.007299302;0;-0.003186475;0.031322471;0.036039936;0.019418086;0.019868229;0;0.028057953;0;0.019646997;0.0051414;0.093331956;0.00941917;0.031498544;0;0.016393784;0.011922717;0;0;0.012205962;0.062520357;0.017519096;0.066691409;0;-0.002085506;0.049896971;0;0;0.01392152;0.006872879;0.076562702;0.010362787;0;0.031725804;0.016890552;0.01680721;0.012578749;0.015037877;0;0.036270524;0;0.014742286;0.044451709;-0.0020854;0;-0.013730193;-0.011560822;0.063591067;0.015424531;0;0.026317308;0.01492565;0.017857588;0;0.009132474;-0.026179515;0.052325819;0.004885105;0.006942281;0.018349113;0.029852937;0;-0.062176989;0;-0.007278053
14/01/10;-0.006430877;0.014815101;-0.015220951;-0.005988147;0.030579481;0.002283231;0.002113421;-0.002567396;0;-0.002393779;-0.02083419;0.001698284;-0.006396579;-0.006100237;0.005899767;0.001286737;0;-0.030109851;-0.01515948;-0.019053689;-0.014762352;-0.015554081;0.00272109;-0.010362787;0.01642073;0;-0.029270382;0.034094211;-0.018349129;0.052014601;-0.014897855;-0.026715747;0.009661828;-0.020998161;-0.016807072;0.006814308;-0.022141126;0.025190253;0;-0.017544314;-0.023884032;-0.045825846;0;0;-0.057432143;0;-0.00836825;0.010810916;-0.0293523;-0.037457473;0.01136381;0;-0.003642991;0;0.021053461;-0.013303966;-0.008888947;-0.023347364;-0.009884722;-0.015504073;-0.015936592;-0.028987537;-0.015686596;-0.002567396;0;0.01550415;0;-0.029081209;0.0121214;-0.024748255;0;0;-0.018365163;0.039609138;0.074327761;0.149531762;0.026433257;0;0.039050515;0.043485112;0;0;0.116259806;-0.003991996;-0.006204777;0;-0.013576486;-0.024938956;-0.01680721;0.001249113;-0.005988042;0;-0.019640927;-0.019048195;-0.00489002;0.012959197;-0.004184205;0;0.025029748;0;0.00943412;-0.079617576;0.004535208;0.062913825;-0.030077455;-0.017857588;-0.009708814;0.018018486;-0.01874216;-0.007873977;-0.076181699;-0.020973123;0.025642462;0;-0.020253793;0.072759208;0;-0.021410932
